TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,<init>,25,KILLED,technology.tabula.TestTextElement.createTextElementWithDirection(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,83,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,85,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,89,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,91,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,92,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,94,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,97,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,99,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,100,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,102,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,105,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,81,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,83,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,85,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,89,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,91,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,92,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,94,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,97,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,99,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,100,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,102,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,105,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,equals,82,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,84,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,86,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,90,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,93,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,95,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,98,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,101,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,103,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,equals,104,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,getDirection,44,KILLED,technology.tabula.TestTextElement.createTextElementWithDirection(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getFont,52,KILLED,technology.tabula.TestTextElement.createTextElementWithDirection(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,getFontSize,56,KILLED,technology.tabula.TestTextElement.createTextElementWithDirection(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getText,35,KILLED,technology.tabula.TestTextElement.createTextElementWithDirection(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getText,40,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,getWidthOfSpace,48,KILLED,technology.tabula.TestTextElement.createTextElementWithDirection(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,71,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,71,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,72,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,72,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,73,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,73,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,74,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,74,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,75,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hashCode,75,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,hashCode,72,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,hashCode,74,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,hashCode,72,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,hashCode,74,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,hashCode,76,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,mergeWords,109,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,150,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,170,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,170,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,170,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,170,NO_COVERAGE,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,183,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,194,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,225,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,248,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,mergeWords,250,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,146,KILLED,technology.tabula.TestTextElement.mergeElementsShouldBeIdempotent(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,147,KILLED,technology.tabula.TestTextElement.mergeElementsShouldBeIdempotent(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,184,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,186,KILLED,technology.tabula.TestTextElement.mergeTenElementsIntoTwoWords(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,186,KILLED,technology.tabula.TestTextElement.mergeTenElementsIntoTwoWords(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,186,KILLED,technology.tabula.TestTextElement.mergeTenElementsIntoTwoWords(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,195,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,197,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,197,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,197,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,199,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,206,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,230,KILLED,technology.tabula.TestTextElement.mergeTenElementsIntoTwoWords(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,246,KILLED,technology.tabula.TestTextElement.mergeFourElementsIntoOneWord(technology.tabula.TestTextElement)
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,257,SURVIVED,none
TextElement.java,technology.tabula.TextElement,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,mergeWords,257,SURVIVED,none
